season,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,POSTSEASON,SEED,free_throw_pct,three_point_pct,roster_experience_years
2026,Colorado St.,MWC,34,21,118.06121805962692,109.2292205214308,0.7097517628186492,,,,,,,,,,,,,,,63.08018749292498,-2.611586380840166,,,,,
2026,Oregon,B10,32,12,111.9695449690808,103.71955623342429,0.7068567581871887,,,,,,,,,,,,,,,65.9770520464623,-6.0857630306893045,,,,,
2026,Saint Joseph's,A10,35,24,109.0142810913217,101.09565856342677,0.704169963056991,,,,,,,,,,,,,,,68.03140711789678,-3.679532663125553,,,,,
2026,Yale,Ivy,31,24,118.55049859634477,109.98451433010932,0.7031813700273085,,,,,,,,,,,,,,,64.7657199995209,-1.2177700470199988,,,,,
2026,Utah Valley,WAC,34,25,112.25104090404002,104.35656311866454,0.6981764181128863,,,,,,,,,,,,,,,68.57071079039788,-2.7126443491031393,,,,,
2026,Xavier,BE,33,15,117.54315304660416,109.4815341268118,0.693614185098755,,,,,,,,,,,,,,,70.34656226065846,-4.668817095301929,,,,,
2026,Wyoming,MWC,33,18,114.82324839742785,107.0775421689766,0.6906517750872432,,,,,,,,,,,,,,,66.37177832698673,-5.114438303982313,,,,,
2026,DePaul,BE,32,16,107.0231197772865,100.17321154305785,0.6814963431578149,,,,,,,,,,,,,,,66.47222987509997,-4.790367379121522,,,,,
2026,South Carolina,SEC,32,13,111.93757645371907,104.82744953446635,0.6802009795412673,,,,,,,,,,,,,,,66.36593435483971,-6.006555470931761,,,,,
2026,Mississippi St.,SEC,32,13,113.02238252050822,105.91456536713972,0.6785160608016395,,,,,,,,,,,,,,,69.5478775692396,-5.3826660211971555,,,,,
2026,Davidson,A10,34,20,110.55509041708244,103.64109418358606,0.6775795344554997,,,,,,,,,,,,,,,63.73771508166182,-5.458591275075979,,,,,
2026,Kansas St.,B12,32,12,113.0142658720055,106.02811428152869,0.6756413079256647,,,,,,,,,,,,,,,72.71680571712471,-6.538992731851484,,,,,
2026,Notre Dame,ACC,31,13,115.00311026698424,107.91975236464178,0.6750399121324298,,,,,,,,,,,,,,,66.0864523141054,-5.724620932748875,,,,,
2026,Illinois St.,MVC,34,22,109.60843169763086,103.0205818299431,0.6710269305111438,,,,,,,,,,,,,,,66.82702809796413,-5.760198174647991,,,,,
2026,Cal Baptist,WAC,34,25,106.97287150791809,100.60921280160912,0.6693643416961843,,,,,,,,,,,,,,,66.03403326430868,-2.3847829707246304,,,,,
2026,Pittsburgh,ACC,33,13,112.6714831177,106.03287948641972,0.6678244941966707,,,,,,,,,,,,,,,63.707236902987646,-7.351773733655799,,,,,
2026,UNLV,MWC,35,18,115.45216049760396,108.68485045353847,0.6669992333928156,,,,,,,,,,,,,,,69.79358564134515,-5.685858633316843,,,,,
2026,Seattle,WCC,35,21,102.70295385631688,96.91185021454784,0.6609317907886659,,,,,,,,,,,,,,,67.92434251008694,-5.521523748520024,,,,,
2026,Maryland,B10,33,12,112.03276239432324,105.93849267435544,0.6554823023175766,,,,,,,,,,,,,,,66.3780646468098,-5.1344967428407315,,,,,
2026,Sam Houston St.,CUSA,34,22,114.54000003420722,108.37044194717508,0.6540162543578785,,,,,,,,,,,,,,,70.14314773627929,-5.143671859589098,,,,,
2026,Pacific,WCC,33,18,110.22230564955834,104.60035213450423,0.6461256860337126,,,,,,,,,,,,,,,64.44027007565549,-6.910765541323667,,,,,
2026,Illinois Chicago,MVC,35,19,109.9866196732718,104.76696088494091,0.6362518954866964,,,,,,,,,,,,,,,66.41670905384454,-8.47788910675341,,,,,
2026,St. Thomas,Sum,34,24,112.97465916130386,107.6484393169033,0.6353799566507347,,,,,,,,,,,,,,,68.42866977771915,-5.031680666357063,,,,,
2026,Rutgers,B10,33,14,111.10922411287972,105.9840455986072,0.6325307543322847,,,,,,,,,,,,,,,66.72913775540249,-5.066039764617316,,,,,
2026,UC Irvine,BW,35,23,103.90105257355378,99.23009240219166,0.6292437026924568,,,,,,,,,,,,,,,68.25569701510355,-5.934569590574035,,,,,
2026,Utah,B12,32,10,114.92353672150742,109.78393936421118,0.628586294107663,,,,,,,,,,,,,,,66.33068145115254,-8.750804872345737,,,,,
2026,UT Rio Grande Valley,Slnd,33,19,111.59708958549156,106.64382294039711,0.6276398849656893,,,,,,,,,,,,,,,66.43434080916028,-7.942182476042487,,,,,
2026,Liberty,CUSA,34,26,118.00047370371686,112.7995147431838,0.6267690934514691,,,,,,,,,,,,,,,63.95720789945881,-1.966147421596209,,,,,
2026,George Mason,A10,33,23,111.08532407418149,106.33784941738972,0.622997111299087,,,,,,,,,,,,,,,63.67616462261827,-2.5858331343837397,,,,,
2026,Duquesne,A10,33,18,111.20376442074216,106.64128392215804,0.6181670363512521,,,,,,,,,,,,,,,68.87368944534826,-7.083287494131998,,,,,
2026,North Dakota St.,Sum,35,27,111.09950574166471,106.56363942684892,0.6175978492061589,,,,,,,,,,,,,,,66.60860498799268,-3.365098908786755,,,,,
2026,Hawaii,BW,33,24,106.78564995896724,102.5866700909544,0.6133293647936803,,,,,,,,,,,,,,,69.67637050259178,-3.802308598783657,,,,,
2026,Wright St.,Horz,35,23,113.26293197426148,109.13025834744042,0.6052650900872345,,,,,,,,,,,,,,,66.9760147489185,-6.350837863463218,,,,,
2026,Florida Atlantic,Amer,33,18,109.89786326383714,105.8888547161786,0.6052421945416118,,,,,,,,,,,,,,,69.82905429405845,-8.034405646498417,,,,,
2026,UC San Diego,BW,34,23,106.3341338984054,102.64892228531598,0.6000382611080636,,,,,,,,,,,,,,,67.23376263894689,-5.90638309417014,,,,,
2026,UNC Wilmington,CAA,34,27,110.55592677339096,106.91215273566068,0.5951775677133171,,,,,,,,,,,,,,,64.93747808446592,-2.6523589398770246,,,,,
2026,Toledo,MAC,34,19,114.78412772197947,111.36746777095485,0.5860127910628309,,,,,,,,,,,,,,,67.92142434873192,-8.859231440701272,,,,,
2026,Fresno St.,MWC,32,13,107.36294359321693,104.17085679616775,0.5859143756104168,,,,,,,,,,,,,,,68.30181270007931,-10.016233297186222,,,,,
2026,San Francisco,WCC,33,17,113.2313820398416,109.8866626174324,0.5853595171294312,,,,,,,,,,,,,,,65.9670253907809,-7.1091732955747835,,,,,
