team,last5_margin,last10_margin,last5_winpct
SUNY Canton,-35.0,-35.0,0.0
SUNY Cobleskill,-44.0,-44.0,0.0
SUNY Delhi,-63.0,-63.0,0.0
SUNY Maritime,-44.0,-44.0,0.0
SUNY Oneonta,-31.5,-31.5,0.0
Sacramento St.,-6.2,-8.0,0.4
Sacred Heart,-2.8,-3.0,0.6
Saint Elizabeth,-42.0,-42.0,0.0
Saint Francis,-11.2,-7.2,0.2
Saint John's (MN),-24.0,-24.0,0.0
Saint Joseph's,10.2,10.2,1.0
Saint Leo,-57.0,-57.0,0.0
Saint Louis,-6.0,-1.6,0.6
Saint Mary's,6.2,8.6,0.6
Saint Peter's,-2.8,-3.8,0.6
Salish-Kootenai,-56.0,-56.0,0.0
Salve Regina,-31.0,-31.0,0.0
Sam Houston St.,-0.6,-0.6,0.4
Samford,5.4,4.6,0.6
San Diego,-1.8,-6.6,0.4
San Diego St.,5.0,0.0,1.0
San Francisco,8.6,-3.0,0.6
San Francisco St.,-39.5,-39.5,0.0
San Jose St.,-4.4,-8.4,0.4
Santa Clara,-0.8,0.8,0.6
Sarah Lawrence,-48.0,-48.0,0.0
Schreiner,-51.0,-51.0,0.0
Science & Arts Okla.,-53.0,-53.0,0.0
Seattle,0.6,4.6,0.6
Seton Hall,-1.0,-0.2,0.4
Shaw,-4.0,-4.0,0.0
Shenandoah,-43.0,-43.0,0.0
Siena,11.0,6.2,1.0
Siena Heights,-45.0,-45.0,0.0
Simpson,-38.0,-38.0,0.0
Simpson (CA),-54.0,-54.0,0.0
South Alabama,-1.8,3.2,0.2
South Carolina,-7.4,-11.2,0.4
South Carolina St.,-1.2,-1.0,0.6
South Dakota,-4.2,-5.4,0.2
South Dakota St.,2.0,3.8,0.6
South Florida,17.6,19.6,1.0
Southeast,-5.0,-5.0,0.0
Southeast Missouri St.,2.0,2.0,0.6
Southeastern,-6.0,-6.0,0.0
Southeastern Louisiana,-2.6,-9.4,0.4
Southern,3.0,2.6,1.0
Southern Ark.,-4.0,-4.0,0.0
Southern Illinois,6.2,5.6,0.6
Southern Indiana,-7.6,-3.8,0.2
Southern Miss,2.8,5.6,0.6
Southern Utah,-6.0,-1.4,0.0
Southern Va.,-43.5,-43.5,0.0
Southern Wesleyan,-35.0,-38.3333,0.0
Southern-N.O.,-53.0,-53.0,0.0
Southwest (NM),-71.0,-71.0,0.0
Southwestern Christ.,-39.8,-39.6667,0.0
Spring Hill,-49.0,-49.0,0.0
Spurgeon,-27.0,-27.0,0.0
St. Ambrose,-16.0,-16.0,0.0
St. Bonaventure,4.2,1.2,0.6
St. Francis (IL),-43.0,-43.0,0.0
St. John Fisher,-44.0,-44.0,0.0
St. John's,10.6,13.0,1.0
St. Joseph's (Brkln),-66.0,-66.0,0.0
St. Joseph's LI,-64.0,-64.0,0.0
St. Mary's MD,-55.5,-55.5,0.0
St. Mary-Woods,-31.0,-31.0,0.0
St. Scholastica,-73.0,-73.0,0.0
St. Thomas,7.8,9.4,0.6
St. Thomas Houston,-1.0,-1.0,0.0
St. Xavier,-23.0,-23.0,0.0
St.Arizona,7.0,7.0,1.0
St.Florida,2.0,2.0,1.0
St.Idaho,30.0,30.0,1.0
St.Kansas,19.0,19.0,1.0
St.Michigan,10.0,10.0,1.0
St.Mississippi,-12.0,-12.0,0.0
St.Montana,-11.0,-11.0,0.0
St.Oregon,12.0,12.0,1.0
St.South Carolina,25.0,25.0,1.0
St.South Dakota,5.0,5.0,1.0
St.Tennessee,29.0,29.0,1.0
Stanford,1.6,7.2,0.6
Stanton,-24.0,-24.0,0.0
Stephen F. Austin,-4.4,2.0,0.6
Stetson,5.8,4.6,0.6
Stonehill,1.4,7.4,0.4
Stony Brook,-9.4,-6.8,0.0
Syracuse,-10.6,-10.4,0.0
TAMU-San Antonio,-49.5,-49.5,0.0
TCU,2.8,5.8,0.6
Tarleton St.,-7.4,-8.2,0.0
TechGeorgia,5.0,5.0,1.0
TechMontana,-7.0,-7.0,0.0
TechVirginia,4.0,4.0,1.0
Temple,3.4,2.6,0.2
Tennessee,0.4,3.2,0.4
Tennessee Martin,-9.0,-4.4,0.4
Tennessee Southern,-32.0,-32.0,0.0
Tennessee St.,20.6,19.8,1.0
Tennessee Tech,-9.4,0.4,0.2
Tennessee Wesleyan,-35.5,-35.5,0.0
Texas,-9.2,-8.0,0.0
Texas A&M,-4.6,-5.4,0.6
Texas A&M Corpus Chris,7.0,8.2,0.6
Texas Lutheran,-57.0,-57.0,0.0
Texas Southern,-3.8,1.4,0.2
Texas St.,-3.0,1.0,0.4
Texas Tech,-12.8,-3.0,0.0
The Citadel,-1.0,-8.6,0.6
Thiel,-51.0,-51.0,0.0
Thomas (ME),-52.0,-52.0,0.0
Tiffin,-12.0,-12.0,0.0
Toccoa Falls,-46.8,-45.0,0.0
Toledo,8.4,8.2,1.0
Tougaloo,-24.0,-24.0,0.0
Towson,10.0,8.8,0.6
Trinity (FL),-87.0,-87.0,0.0
Trinity (TX),-27.0,-27.0,0.0
Trinity Baptist,-47.5,-47.5,0.0
Trinity Christian,-76.5,-76.5,0.0
Troy,12.6,9.4,1.0
Truett-McConnell,-27.0,-27.0,0.0
Tulane,-1.0,-12.0,0.4
Tulsa,8.6,19.0,1.0
Tusculum,-18.5,-18.5,0.0
UAB,2.0,3.0,0.6
UC Clermont,-57.0,-57.0,0.0
